sample_id	input_reads	input_bases	input_q20_rate	input_q30_rate	passing_reads	passing_bases	passing_q20_rate	passing_q30_rate	read_retention	low_quality_reads	too_many_n_reads	adapter_dimer_reads	too_short_reads	adapter_trimmed_reads	adapter_trimmed_bases	duplication_rate
KIRN_LP_179_Du-421	18960886	2844132900	0.98455300	0.95373800	18536578	2704990863	0.99355400	0.97173300	0.97762193	149278	2272	40262	232496	2164400	81932277	0.10863500
KIRN_LP_180_Du-422	14276646	2141496900	0.98280500	0.95029500	13902566	2030408087	0.99237800	0.96886800	0.97379777	198966	1724	75956	97434	1767504	59065318	0.09754490
KIRN_LP_181_Du-423	13765574	2064836100	0.98263500	0.94949000	13451228	1929896693	0.99378500	0.97256200	0.97716434	97030	1618	33164	182534	2372173	93456419	0.07928260
KIRN_LP_182_Du-424	15739848	2360977200	0.98565600	0.95495200	15391048	2253866929	0.99310900	0.97021300	0.97783968	151110	1716	16606	179368	1564239	55494867	0.10870300
KIRN_LP_183_Du-425	17169226	2575383900	0.98124000	0.94707300	16709092	2397731648	0.99354100	0.97190900	0.97320007	129940	1918	39242	289034	2780208	114725327	0.09018960
KIRN_LP_184_Du-426	25127000	3769050000	0.98576800	0.95694200	24588840	3639520930	0.99278100	0.97038200	0.97858240	312236	2964	73492	149468	1735986	54542985	0.11861100
KIRN_LP_185_Du-427	18036594	2705489100	0.98641300	0.95691500	17677998	2602750703	0.99315900	0.97052200	0.98011842	173044	2134	49054	134364	1569016	52275403	0.10325400
KIRN_LP_186_Du-428	18460384	2769057600	0.98183600	0.94800100	17948694	2599479579	0.99321100	0.97074400	0.97228173	177712	2100	51608	280270	2588388	101533344	0.10713300
KIRN_LP_187_Du-429	22045368	3306805200	0.98030900	0.94547500	21422834	3043286313	0.99379500	0.97263800	0.97176123	176544	2656	66208	377126	4538345	178844131	0.09242840
KIRT_LP_159_Du-364	1861872	279280800	0.98031600	0.94620600	1822056	256057674	0.99363600	0.97271000	0.97861507	13068	244	2604	23900	490240	17288990	0.05431200
KIRT_LP_160_Du-365	1972036	295805400	0.98619000	0.95752200	1938670	284257118	0.99352400	0.97163400	0.98308043	17074	246	1700	14346	219041	6833713	0.09239080
KIRT_LP_161_Du-366	3281800	492270000	0.98588000	0.95643000	3226886	472212824	0.99323500	0.97091600	0.98326711	27988	380	2488	24058	381058	12288503	0.10526600
KIRT_LP_162_Du-367	2346446	351966900	0.98685300	0.95839300	2309318	338849637	0.99359200	0.97170200	0.98417692	22314	310	1986	12518	253451	7688877	0.09094860
KIRT_LP_163_Du-368	3212358	481853700	0.98729100	0.95887900	3155206	467751621	0.99333000	0.97084800	0.98220871	32752	346	2898	21156	194494	5862854	0.12510200
KIRT_LP_164_Du-369	2609004	391350600	0.98420900	0.95451400	2566040	372337459	0.99345200	0.97160600	0.98353241	21434	322	3794	17414	376938	12823052	0.08609570
KIRT_LP_165_Du-370	3896402	584460300	0.98632500	0.95238700	3766666	562285624	0.99230500	0.96564700	0.96670364	46516	384	840	81996	102757	2878531	0.12724800
KIRT_LP_166_Du-371	1747748	262162200	0.98559800	0.95006300	1685380	251709232	0.99203100	0.96432100	0.96431522	22310	210	376	39472	38997	1168299	0.12534000
KIRT_LP_167_Du-372	1827792	274168800	0.98798900	0.96150900	1807398	264302726	0.99395900	0.97301200	0.98884228	11084	234	1354	7722	228853	6866977	0.07119410
KIRT_LP_168_Du-373	3371822	505773300	0.98775500	0.95899700	3310300	491773715	0.99313700	0.96981500	0.98175408	31710	442	1082	28288	173298	5082866	0.12053700
MALV_LP_095_Du-201	38223238	5733485700	0.98079800	0.93443800	35741010	5327857958	0.98935200	0.95474600	0.93505971	599700	3982	177468	1701078	1262916	41764119	0.13789300
MALV_LP_096_Du-202	8039398	1205909700	0.97895400	0.93006400	7514598	1114590246	0.98932800	0.95348100	0.93472148	141074	854	10434	372438	383622	13028963	0.11441500
