sample_id	cp_full_reference_mean_depth	cp_full_reference_breadth_dp1	cp_full_reference_breadth_dp3	cp_full_reference_breadth_dp5	cp_full_reference_breadth_dp10	cp_unique_sites_mean_depth	cp_unique_sites_breadth_dp1	cp_unique_sites_breadth_dp3	cp_unique_sites_breadth_dp5	cp_unique_sites_breadth_dp10	mt_full_reference_mean_depth	mt_full_reference_breadth_dp1	mt_full_reference_breadth_dp3	mt_full_reference_breadth_dp5	mt_full_reference_breadth_dp10	mt_unique_sites_mean_depth	mt_unique_sites_breadth_dp1	mt_unique_sites_breadth_dp3	mt_unique_sites_breadth_dp5	mt_unique_sites_breadth_dp10	mt_repeat_sites_mean_depth	mt_repeat_sites_breadth_dp1	mt_repeat_sites_breadth_dp3	mt_repeat_sites_breadth_dp5	mt_repeat_sites_breadth_dp10
CROS_LP_090_Du-186	998.392689	0.94138041	0.85872473	0.78167880	0.74127261	1457.821836	1.00000000	1.00000000	1.00000000	1.00000000	80.283971	0.22880189	0.21004771	0.20883140	0.20732334	403.666525	1.00000000	1.00000000	1.00000000	1.00000000	2.863601	0.04417090	0.02092681	0.01941931	0.01755020
CROS_LP_091_Du-187	409.683684	0.76186832	0.75090834	0.74550488	0.73899011	582.658489	0.99986842	0.99985830	0.99982794	0.99978745	64.838112	0.21310903	0.20897933	0.20847801	0.20706446	326.808203	1.00000000	1.00000000	0.99997873	0.99993618	2.120376	0.02472104	0.01960265	0.01898641	0.01724463
CROS_LP_092_Du-188	288.953791	0.75913332	0.73942931	0.73216924	0.72446997	421.796512	0.99991903	0.99985830	0.99985830	0.99977733	21.467043	0.20972719	0.20761509	0.20600019	0.20390863	108.275613	1.00000000	0.99995745	0.99993618	0.99993618	0.684376	0.02052956	0.01792199	0.01592556	0.01333327
CROS_LP_093_Du-189	569.878735	0.75666449	0.73837124	0.73373305	0.72726486	833.997470	1.00000000	1.00000000	1.00000000	1.00000000	62.388093	0.21414043	0.20867936	0.20764796	0.20621797	313.970175	1.00000000	1.00000000	1.00000000	1.00000000	2.157330	0.02599936	0.01923087	0.01795254	0.01618021
CROS_LP_094_Du-190	1321.592125	0.80512264	0.75253204	0.74722174	0.74090661	1928.323303	1.00000000	1.00000000	1.00000000	0.99990891	35.445839	0.21247211	0.20805066	0.20695762	0.20540436	178.514253	1.00000000	0.99995745	0.99995745	0.99993618	1.194117	0.02393163	0.01846184	0.01710712	0.01518709
CY_ALA_LP_298-Du-767	284.823023	0.70183798	0.69415202	0.69125730	0.68632631	424.098095	1.00000000	0.99998988	0.99998988	0.99997976	13.787166	0.18526128	0.18377377	0.18334641	0.18236022	70.205901	0.92605514	0.92214091	0.92128999	0.92116236	0.280070	0.00790931	0.00700277	0.00667682	0.00548508
CY_ALA_LP_299-Du-768	281.560330	0.70057362	0.69240188	0.68989978	0.68537472	419.873079	1.00000000	0.99998988	0.99998988	0.99998988	16.855711	0.18554481	0.18391759	0.18343682	0.18277113	85.728472	0.92309820	0.92128999	0.92128999	0.92120490	0.367021	0.00896863	0.00738473	0.00678886	0.00598418
CY_ALA_LP_357_Du-769	720.383446	0.76711873	0.71311737	0.70866550	0.70391418	1069.308759	1.00000000	1.00000000	0.99998988	0.99998988	36.750854	0.19106752	0.18668716	0.18615708	0.18501884	186.512849	0.92626787	0.92173673	0.92128999	0.92118363	0.896634	0.01505467	0.01071041	0.01016038	0.00877510
CY_BAL_LP_226_Du-602	304.372992	0.72273980	0.69769887	0.69365293	0.68846241	453.869922	1.00000000	0.99992915	0.99986842	0.99917006	8.860256	0.19919543	0.19763806	0.19691074	0.19560403	45.046737	0.99140572	0.98864023	0.98859769	0.98855514	0.196923	0.00953395	0.00826581	0.00737455	0.00576519
CY_BAL_LP_227_Du-603	93.132032	0.70951728	0.69397900	0.69067836	0.68498210	138.780612	0.99991903	0.99989879	0.99979757	0.99923078	2.707864	0.19964743	0.19573963	0.19366450	0.16399640	13.762891	0.99463921	0.98832114	0.98634275	0.84002723	0.061202	0.00932004	0.00598927	0.00389099	0.00214921
