sample_id	chloroplast_tip_order	mitochondria_tip_order	mitochondria_representative	identical_zero_length_tip_group
QUI1_LP_252_Du-651	255	181	QUI1_LP_252_Du-651	no
QUI1_LP_253_Du-652	258	182	QUI1_LP_253_Du-652	no
QUI1_LP_254_Du-653	256	183	QUI1_LP_254_Du-653	no
QUI1_LP_255_Du-654	257	180	QUI1_LP_255_Du-654	no
QUI1_LP_257_Du-656	260	178	QUI1_LP_257_Du-656	no
QUI1_LP_258_Du-657	259	179	QUI1_LP_258_Du-657	no
QUI2_LP_243_Du-631	189	186	QUI2_LP_243_Du-631	no
QUI2_LP_244_Du-632	190	195	QUI2_LP_244_Du-632	no
QUI2_LP_245_Du-633	192	201	QUI2_LP_245_Du-633	no
QUI2_LP_246_Du-634	194	196	QUI2_LP_246_Du-634	no
QUI2_LP_247_Du-635	193	203	QUI2_LP_247_Du-635	no
QUI2_LP_248_Du-636	196	190	QUI2_LP_248_Du-636	no
QUI2_LP_337_Du-638	195	189	QUI2_LP_243_Du-631	yes
QUI2_LP_338_Du-639	197	191	QUI2_LP_338_Du-639	no
QUI2_LP_339_Du-640	198	192	QUI2_LP_339_Du-640	no
QUI2_LP_340_Du-641	191	187	QUI2_LP_243_Du-631	yes
QUIN_LP_069_Du-155	184	199	QUI2_LP_246_Du-634	yes
QUIN_LP_070_Du-156	180	200	QUIN_LP_070_Du-156	no
QUIN_LP_071_Du-157	185	197	QUI2_LP_246_Du-634	yes
QUIN_LP_072_Du-158	181	198	QUI2_LP_246_Du-634	yes
QUIN_LP_073_Du-159	182	188	QUI2_LP_243_Du-631	yes
QUIN_LP_074_Du-160	187	202	QUI2_LP_245_Du-633	yes
QUIN_LP_075_Du-161	188	204	QUIN_LP_075_Du-161	no
QUIN_LP_076_Du-162	179	194	QUIN_LP_076_Du-162	no
QUIN_LP_077_Du-163	183	185	QUIN_LP_077_Du-163	no
QUIN_LP_318_Du-164	186	193	QUIN_LP_318_Du-164	no
RIC_LP_192_Du-521	137	133	RIC_LP_192_Du-521	no
RIC_LP_193_Du-522	138	129	KIRN_LP_181_Du-423	yes
RIC_LP_194_Du-523	141	117	CROS_LP_093_Du-189	yes
RIC_LP_195_Du-524	142	118	CROS_LP_093_Du-189	yes
RIC_LP_196_Du-525	139	121	CROS_LP_093_Du-189	yes
RIC_LP_197_Du-526	146	134	RIC_LP_197_Du-526	no
RIC_LP_198_Du-527	145	124	CROS_LP_093_Du-189	yes
RIC_LP_199_Du-528	140	119	CROS_LP_093_Du-189	yes
RIC_LP_200_Du-529	143	123	CROS_LP_093_Du-189	yes
RIC_LP_201_Du-530	144	115	CROS_LP_093_Du-189	yes
RSV_LP_049_Du-85	224	224	RSV_LP_049_Du-85	no
RSV_LP_050_Du-87	229	230	RSV_LP_050_Du-87	no
RSV_LP_051_Du-88	230	231	RSV_LP_051_Du-88	no
RSV_LP_052_Du-89	225	225	RSV_LP_052_Du-89	no
RSV_LP_053_Du-90	231	232	RSV_LP_053_Du-90	no
RSV_LP_055_Du-92	226	226	RSV_LP_055_Du-92	no
RSV_LP_057_Du-94	227	228	RSV_LP_057_Du-94	no
RSV_LP_315_Du-95	228	229	RSV_LP_315_Du-95	no
