sample_id	organelle	pc1	pc2	species	popcode	population_name	naming_profile	plot_group
CROS_LP_093_Du-189	mtDNA	0.92167552	-1.14705521	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_094_Du-190	mtDNA	0.95804532	-0.93275162	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CY_ALA_LP_298-Du-767	mtDNA	0.29079158	0.58856572	D. cymosa	CY_ALA	Los Alanitos Dam	main_standard	D. cymosa_CY_ALA
CY_ALA_LP_299-Du-768	mtDNA	0.29079158	0.58856572	D. cymosa	CY_ALA	Los Alanitos Dam	main_standard	D. cymosa_CY_ALA
CY_ALA_LP_357_Du-769	mtDNA	0.29079158	0.58856572	D. cymosa	CY_ALA	Los Alanitos Dam	main_standard	D. cymosa_CY_ALA
CY_BAL_LP_226_Du-602	mtDNA	-4.07852292	0.04851030	D. cymosa	CY_BAL	Baldwin Lake	main_standard	D. cymosa_CY_BAL
CY_BAL_LP_227_Du-603	mtDNA	-4.08329519	0.05014541	D. cymosa	CY_BAL	Baldwin Lake	main_standard	D. cymosa_CY_BAL
CY_BAL_LP_228_Du-604	mtDNA	-4.02930849	0.03788276	D. cymosa	CY_BAL	Baldwin Lake	main_standard	D. cymosa_CY_BAL
CY_BGL_LP_210_Du-577	mtDNA	-3.96247950	0.07198300	D. cymosa	CY_BGL	Below Green Lake	main_standard	D. cymosa_CY_BGL
CY_BGL_LP_212_Du-579	mtDNA	-3.90823895	0.04738070	D. cymosa	CY_BGL	Below Green Lake	main_standard	D. cymosa_CY_BGL
CY_BOU_LP_288_Du-737	mtDNA	0.28639204	0.56501966	D. cymosa	CY_BOU	Boulder Ridge	main_standard	D. cymosa_CY_BOU
CY_BOU_LP_290_Du-739	mtDNA	0.28639204	0.56501966	D. cymosa	CY_BOU	Boulder Ridge	main_standard	D. cymosa_CY_BOU
CY_BOU_LP_291_Du-740	mtDNA	0.28639204	0.56501966	D. cymosa	CY_BOU	Boulder Ridge	main_standard	D. cymosa_CY_BOU
CY_BOU_LP_292_Du-741	mtDNA	0.28639204	0.56501966	D. cymosa	CY_BOU	Boulder Ridge	main_standard	D. cymosa_CY_BOU
CY_BOU_LP_354_Du-742	mtDNA	0.28639204	0.56501966	D. cymosa	CY_BOU	Boulder Ridge	main_standard	D. cymosa_CY_BOU
CY_CAS_LP_328_Du-610	mtDNA	-4.08847113	-0.00581484	D. cymosa	CY_CAS	Castle Rock Falls	main_standard	D. cymosa_CY_CAS
CY_CAS_LP_329_Du-611	mtDNA	0.22046931	0.62760688	D. cymosa	CY_CAS	Castle Rock Falls	main_standard	D. cymosa_CY_CAS
CY_CAS_LP_330_Du-607	mtDNA	0.22048083	0.62778007	D. cymosa	CY_CAS	Castle Rock Falls	main_standard	D. cymosa_CY_CAS
CY_CAS_LP_331_Du-608	mtDNA	0.26427219	0.47298257	D. cymosa	CY_CAS	Castle Rock Falls	main_standard	D. cymosa_CY_CAS
CY_CAS_LP_332_Du-609	mtDNA	0.22045504	0.62753978	D. cymosa	CY_CAS	Castle Rock Falls	main_standard	D. cymosa_CY_CAS
CY_HICN_LP_236_Du-614	mtDNA	-4.67247646	0.27268115	D. cymosa	CY_HICN	Hick's Road North	main_standard	D. cymosa_CY_HICN
CY_HICN_LP_333_Du-612	mtDNA	-4.23222618	0.00059450	D. cymosa	CY_HICN	Hick's Road North	main_standard	D. cymosa_CY_HICN
CY_HICN_LP_334_Du-613	mtDNA	-4.61778547	0.23561298	D. cymosa	CY_HICN	Hick's Road North	main_standard	D. cymosa_CY_HICN
CY_HICN_LP_335_Du-615	mtDNA	-4.55155924	0.28175895	D. cymosa	CY_HICN	Hick's Road North	main_standard	D. cymosa_CY_HICN
CY_HICN_LP_336_Du-616	mtDNA	-4.57406077	0.08037383	D. cymosa	CY_HICN	Hick's Road North	main_standard	D. cymosa_CY_HICN
CY_HICS_LP_293_Du-757	mtDNA	0.28639204	0.56501966	D. cymosa	CY_HICS	Hicks Rd. South	main_standard	D. cymosa_CY_HICS
CY_HICS_LP_295_Du-759	mtDNA	0.32204213	0.41917459	D. cymosa	CY_HICS	Hicks Rd. South	main_standard	D. cymosa_CY_HICS
CY_HICS_LP_297_Du-761	mtDNA	0.28639204	0.56501966	D. cymosa	CY_HICS	Hicks Rd. South	main_standard	D. cymosa_CY_HICS
CY_HICS_LP_355_Du-762	mtDNA	0.28639204	0.56501966	D. cymosa	CY_HICS	Hicks Rd. South	main_standard	D. cymosa_CY_HICS
CY_HICS_LP_356_Du-763	mtDNA	0.28639204	0.56501966	D. cymosa	CY_HICS	Hicks Rd. South	main_standard	D. cymosa_CY_HICS
