sample_id	organelle	pc1	pc2	species	popcode	population_name	naming_profile	plot_group
KIRT_LP_162_Du-367	cpDNA	-4.06605921	5.02614671	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_163_Du-368	cpDNA	-4.06648885	5.02669769	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_164_Du-369	cpDNA	-4.06595544	5.02619842	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_165_Du-370	cpDNA	-4.06648885	5.02669769	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_166_Du-371	cpDNA	-4.06659262	5.02664598	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_167_Du-372	cpDNA	-4.06749295	5.02621696	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_168_Du-373	cpDNA	-4.05753021	5.03836211	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
MALV_LP_095_Du-201	cpDNA	-4.13847554	5.04833611	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_096_Du-202	cpDNA	-4.13847554	5.04833611	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_097_Du-203	cpDNA	-4.13847554	5.04833611	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_098_Du-204	cpDNA	-4.13847554	5.04833611	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_099_Du-205	cpDNA	-4.13415206	5.03480765	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_100_Du-206	cpDNA	-4.13847554	5.04833611	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_101_Du-207	cpDNA	-4.13415206	5.03480765	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_102_Du-208	cpDNA	-4.13137304	5.02611948	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_103_Du-209	cpDNA	-4.13847554	5.04833611	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_104_Du-210	cpDNA	-4.13847554	5.04833611	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
OCO_LP_058_Du-115	cpDNA	19.18449182	2.23570567	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
