organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst
mitochondria	CY_BAL	RSV	3	9	31.0833333333	31.4444444444	42857	0.98851590106
mitochondria	CY_BAL	SILG	3	10	30.7333333333	31.8	42860	0.966457023061
mitochondria	CY_BAL	SILR	3	6	31	31	42866	1
mitochondria	CY_BAL	STI	3	16	30.6071428571	31.4910714286	42856	0.971930819393
mitochondria	CY_BAL	TIL	3	8	30.3928571429	31.75	42856	0.957255343082
mitochondria	CY_BAL	TULP	3	17	29.176916221	29.6960784314	42867	0.982517482517
mitochondria	CY_BGL	CY_BOU	2	5	22	23.5	43159	0.936170212766
mitochondria	CY_BGL	CY_CAS	2	5	17.6	26.5	43159	0.664150943396
mitochondria	CY_BGL	CY_HICN	2	5	29.8	31.9	43158	0.934169278997
mitochondria	CY_BGL	CY_HICS	2	5	22	23.5	43159	0.936170212766
mitochondria	CY_BGL	CY_HUN	2	4	19	20.5	43161	0.926829268293
mitochondria	CY_BGL	CY_SIE	2	4	19.25	31	43159	0.620967741935
mitochondria	CY_BGL	CY_WOO	2	5	22.6	24.3	43153	0.930041152263
mitochondria	CY_BGL	DAN	2	5	30	31.5	42975	0.952380952381
mitochondria	CY_BGL	DOV	2	7	27	28.5	43162	0.947368421053
mitochondria	CY_BGL	DUD	2	8	26	27.875	43162	0.932735426009
mitochondria	CY_BGL	KIRN	2	9	27	28.5	43162	0.947368421053
mitochondria	CY_BGL	KIRT	2	10	27	28.5	43162	0.947368421053
mitochondria	CY_BGL	MALV	2	10	28	29.5	43162	0.949152542373
mitochondria	CY_BGL	OCO	2	10	18.3111111111	20.8888888889	43161	0.876595744681
mitochondria	CY_BGL	QUI1	2	9	24.0833333333	25.8333333333	43159	0.932258064516
mitochondria	CY_BGL	QUI2	2	10	29	30.5	43038	0.950819672131
mitochondria	CY_BGL	QUIN	2	10	29	30.5	43020	0.950819672131
mitochondria	CY_BGL	RIC	2	10	27	28.7	43162	0.940766550523
