sample_id	organelle	haplotype_id	species_group	popcode
QUI1_LP_255_Du-654	cpDNA	H106	D. setchellii	QUI1
QUI1_LP_257_Du-656	cpDNA	H106	D. setchellii	QUI1
QUI1_LP_258_Du-657	cpDNA	H106	D. setchellii	QUI1
QUI2_LP_243_Du-631	cpDNA	H110	D. setchellii	QUI2
QUI2_LP_244_Du-632	cpDNA	H110	D. setchellii	QUI2
QUI2_LP_245_Du-633	cpDNA	H111	D. setchellii	QUI2
QUI2_LP_246_Du-634	cpDNA	H110	D. setchellii	QUI2
QUI2_LP_247_Du-635	cpDNA	H110	D. setchellii	QUI2
QUI2_LP_248_Du-636	cpDNA	H110	D. setchellii	QUI2
QUI2_LP_337_Du-638	cpDNA	H110	D. setchellii	QUI2
QUI2_LP_338_Du-639	cpDNA	H110	D. setchellii	QUI2
QUI2_LP_339_Du-640	cpDNA	H112	D. setchellii	QUI2
QUI2_LP_340_Du-641	cpDNA	H111	D. setchellii	QUI2
QUIN_LP_069_Du-155	cpDNA	H113	D. setchellii	QUIN
QUIN_LP_070_Du-156	cpDNA	H113	D. setchellii	QUIN
QUIN_LP_071_Du-157	cpDNA	H113	D. setchellii	QUIN
QUIN_LP_072_Du-158	cpDNA	H113	D. setchellii	QUIN
QUIN_LP_073_Du-159	cpDNA	H113	D. setchellii	QUIN
QUIN_LP_074_Du-160	cpDNA	H113	D. setchellii	QUIN
QUIN_LP_075_Du-161	cpDNA	H113	D. setchellii	QUIN
QUIN_LP_076_Du-162	cpDNA	H113	D. setchellii	QUIN
QUIN_LP_077_Du-163	cpDNA	H113	D. setchellii	QUIN
QUIN_LP_318_Du-164	cpDNA	H114	D. setchellii	QUIN
RIC_LP_192_Du-521	cpDNA	H115	D. setchellii	RIC
RIC_LP_193_Du-522	cpDNA	H115	D. setchellii	RIC
RIC_LP_194_Du-523	cpDNA	H115	D. setchellii	RIC
RIC_LP_195_Du-524	cpDNA	H115	D. setchellii	RIC
RIC_LP_196_Du-525	cpDNA	H115	D. setchellii	RIC
RIC_LP_197_Du-526	cpDNA	H116	D. setchellii	RIC
RIC_LP_198_Du-527	cpDNA	H115	D. setchellii	RIC
RIC_LP_199_Du-528	cpDNA	H115	D. setchellii	RIC
RIC_LP_200_Du-529	cpDNA	H115	D. setchellii	RIC
RIC_LP_201_Du-530	cpDNA	H115	D. setchellii	RIC
RSV_LP_049_Du-85	cpDNA	H117	D. setchellii	RSV
RSV_LP_050_Du-87	cpDNA	H118	D. setchellii	RSV
RSV_LP_051_Du-88	cpDNA	H119	D. setchellii	RSV
RSV_LP_052_Du-89	cpDNA	H117	D. setchellii	RSV
RSV_LP_053_Du-90	cpDNA	H120	D. setchellii	RSV
RSV_LP_055_Du-92	cpDNA	H117	D. setchellii	RSV
RSV_LP_057_Du-94	cpDNA	H117	D. setchellii	RSV
RSV_LP_315_Du-95	cpDNA	H117	D. setchellii	RSV
RSV_LP_316_Du-96	cpDNA	H121	D. setchellii	RSV
SILG_LP_149_Du-343	cpDNA	H122	D. setchellii	SILG
SILG_LP_150_Du-344	cpDNA	H123	D. setchellii	SILG
SILG_LP_151_Du-345	cpDNA	H124	D. setchellii	SILG
SILG_LP_152_Du-346	cpDNA	H125	D. setchellii	SILG
SILG_LP_153_Du-347	cpDNA	H123	D. setchellii	SILG
SILG_LP_154_Du-348	cpDNA	H123	D. setchellii	SILG
SILG_LP_155_Du-349	cpDNA	H126	D. setchellii	SILG
SILG_LP_156_Du-350	cpDNA	H127	D. setchellii	SILG
SILG_LP_157_Du-351	cpDNA	H128	D. setchellii	SILG
SILG_LP_158_Du-352	cpDNA	H129	D. setchellii	SILG
SILR_LP_346_Du-729	cpDNA	H130	D. setchellii	SILR
SILR_LP_347_Du-730	cpDNA	H130	D. setchellii	SILR
SILR_LP_348_Du-731	cpDNA	H130	D. setchellii	SILR
SILR_LP_349_Du-732	cpDNA	H130	D. setchellii	SILR
SILR_LP_351_Du-734	cpDNA	H131	D. setchellii	SILR
SILR_LP_353_Du-736	cpDNA	H132	D. setchellii	SILR
STI_LP_027_Du-45	cpDNA	H133	D. setchellii	STI
STI_LP_028_Du-46	cpDNA	H134	D. setchellii	STI
STI_LP_029_Du-47	cpDNA	H134	D. setchellii	STI
STI_LP_030_Du-48	cpDNA	H134	D. setchellii	STI
STI_LP_031_Du-49	cpDNA	H135	D. setchellii	STI
STI_LP_032_Du-50	cpDNA	H134	D. setchellii	STI
STI_LP_033_Du-51	cpDNA	H134	D. setchellii	STI
STI_LP_034_Du-52	cpDNA	H136	D. setchellii	STI
STI_LP_035_Du-53	cpDNA	H135	D. setchellii	STI
STI_LP_036_Du-54	cpDNA	H134	D. setchellii	STI
STI_LP_037_Du-55	cpDNA	H135	D. setchellii	STI
