sample_id	organelle	best_k	species	popcode	population_name	plot_group	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8
CROS_LP_089_Du-185	mtDNA	8	D. setchellii	CROS	Crosp South End	D. setchellii_CROS	0.00001000	0.00001000	0.23531900	0.00001000	0.76462100	0.00001000	0.00001000	0.00001000
CROS_LP_090_Du-186	mtDNA	8	D. setchellii	CROS	Crosp South End	D. setchellii_CROS	0.00001000	0.00001000	0.32331900	0.00001000	0.67662100	0.00001000	0.00001000	0.00001000
CROS_LP_091_Du-187	mtDNA	8	D. setchellii	CROS	Crosp South End	D. setchellii_CROS	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
CROS_LP_092_Du-188	mtDNA	8	D. setchellii	CROS	Crosp South End	D. setchellii_CROS	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
CROS_LP_093_Du-189	mtDNA	8	D. setchellii	CROS	Crosp South End	D. setchellii_CROS	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
CROS_LP_094_Du-190	mtDNA	8	D. setchellii	CROS	Crosp South End	D. setchellii_CROS	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
DAN_LP_043_Du-68	mtDNA	8	D. setchellii	DAN	Dana Rock	D. setchellii_DAN	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
DAN_LP_044_Du-69	mtDNA	8	D. setchellii	DAN	Dana Rock	D. setchellii_DAN	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
DAN_LP_045_Du-70	mtDNA	8	D. setchellii	DAN	Dana Rock	D. setchellii_DAN	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
DAN_LP_046_Du-71	mtDNA	8	D. setchellii	DAN	Dana Rock	D. setchellii_DAN	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
DAN_LP_047_Du-72	mtDNA	8	D. setchellii	DAN	Dana Rock	D. setchellii_DAN	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
DOV_LP_078_Du-174	mtDNA	8	D. setchellii	DOV	Dove Road	D. setchellii_DOV	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
DOV_LP_079_Du-175	mtDNA	8	D. setchellii	DOV	Dove Road	D. setchellii_DOV	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
DOV_LP_080_Du-176	mtDNA	8	D. setchellii	DOV	Dove Road	D. setchellii_DOV	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
DOV_LP_081_Du-177	mtDNA	8	D. setchellii	DOV	Dove Road	D. setchellii_DOV	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
DOV_LP_082_Du-178	mtDNA	8	D. setchellii	DOV	Dove Road	D. setchellii_DOV	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
DOV_LP_083_Du-179	mtDNA	8	D. setchellii	DOV	Dove Road	D. setchellii_DOV	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
DOV_LP_084_Du-180	mtDNA	8	D. setchellii	DOV	Dove Road	D. setchellii_DOV	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000
DUD_LP_132_Du-283	mtDNA	8	D. setchellii	DUD	Dude Rock	D. setchellii_DUD	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
DUD_LP_133_Du-284	mtDNA	8	D. setchellii	DUD	Dude Rock	D. setchellii_DUD	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
DUD_LP_134_Du-285	mtDNA	8	D. setchellii	DUD	Dude Rock	D. setchellii_DUD	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
DUD_LP_135_Du-286	mtDNA	8	D. setchellii	DUD	Dude Rock	D. setchellii_DUD	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
DUD_LP_136_Du-287	mtDNA	8	D. setchellii	DUD	Dude Rock	D. setchellii_DUD	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
DUD_LP_137_Du-288	mtDNA	8	D. setchellii	DUD	Dude Rock	D. setchellii_DUD	0.00001000	0.00001000	0.23531900	0.00001000	0.76462100	0.00001000	0.00001000	0.00001000
DUD_LP_138_Du-289	mtDNA	8	D. setchellii	DUD	Dude Rock	D. setchellii_DUD	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
DUD_LP_139_Du-290	mtDNA	8	D. setchellii	DUD	Dude Rock	D. setchellii_DUD	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
KIRN_LP_179_Du-421	mtDNA	8	D. setchellii	KIRN	Kirby N. Rd. Canyon	D. setchellii_KIRN	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
KIRN_LP_180_Du-422	mtDNA	8	D. setchellii	KIRN	Kirby N. Rd. Canyon	D. setchellii_KIRN	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
KIRN_LP_181_Du-423	mtDNA	8	D. setchellii	KIRN	Kirby N. Rd. Canyon	D. setchellii_KIRN	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
KIRN_LP_182_Du-424	mtDNA	8	D. setchellii	KIRN	Kirby N. Rd. Canyon	D. setchellii_KIRN	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
KIRN_LP_183_Du-425	mtDNA	8	D. setchellii	KIRN	Kirby N. Rd. Canyon	D. setchellii_KIRN	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
KIRN_LP_184_Du-426	mtDNA	8	D. setchellii	KIRN	Kirby N. Rd. Canyon	D. setchellii_KIRN	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
