organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst
mitochondria	CY_SIE	KIRN	3	9	17.6666666667	31.1666666667	43177	0.566844919786
mitochondria	CY_SIE	KIRT	3	10	17.6666666667	31.1666666667	43177	0.566844919786
mitochondria	CY_SIE	MALV	3	10	18.6666666667	32.1666666667	43177	0.580310880829
mitochondria	CY_SIE	OCO	3	10	23.0333333333	37.6111111111	43168	0.612407680945
mitochondria	CY_SIE	QUI1	3	8	14.7738095238	28.5416666667	43174	0.517622523462
mitochondria	CY_SIE	QUI2	3	10	19.6666666667	33.1666666667	43029	0.592964824121
mitochondria	CY_SIE	QUIN	3	9	19.6666666667	33.1666666667	43032	0.592964824121
mitochondria	CY_SIE	RIC	3	9	17.6666666667	31.1666666667	43177	0.566844919786
mitochondria	CY_SIE	RSV	3	8	18.7023809524	32.5416666667	43163	0.574721053594
mitochondria	CY_SIE	SILG	3	9	18.4920634921	33.1111111111	43169	0.558485139022
mitochondria	CY_SIE	SILR	3	6	18.6666666667	31.8333333333	43176	0.586387434555
mitochondria	CY_SIE	STI	3	16	18.0301587302	32.2652777778	43162	0.558809964518
mitochondria	CY_SIE	TIL	3	8	17.6904761905	32.5892857143	43162	0.542831050228
mitochondria	CY_SIE	TULP	3	17	16.8284313725	30.6960784314	43177	0.548227403385
mitochondria	CY_WOO	DAN	4	5	11	11	42978	1
mitochondria	CY_WOO	DOV	4	7	6	6	43165	1
mitochondria	CY_WOO	DUD	4	8	5	5.375	43165	0.93023255814
mitochondria	CY_WOO	KIRN	4	9	6	6	43165	1
mitochondria	CY_WOO	KIRT	4	10	6	6	43165	1
mitochondria	CY_WOO	MALV	4	10	7	7	43165	1
mitochondria	CY_WOO	OCO	4	10	31.3666666667	32.4444444444	43156	0.966780821918
mitochondria	CY_WOO	QUI1	4	8	3.10714285714	3.375	43162	0.920634920635
mitochondria	CY_WOO	QUI2	4	10	8	8	43018	1
mitochondria	CY_WOO	QUIN	4	9	8	8	43021	1
mitochondria	CY_WOO	RIC	4	9	6	6	43165	1
mitochondria	CY_WOO	RSV	4	8	7.03571428571	7.375	43151	0.953995157385
mitochondria	CY_WOO	SILG	4	9	6.8253968254	7.94444444444	43158	0.859140859141
mitochondria	CY_WOO	SILR	4	6	10	10	43164	1
mitochondria	CY_WOO	STI	4	16	6.71904761905	7.45416666667	43150	0.901381458117
mitochondria	CY_WOO	TIL	4	8	6.40476190476	7.80357142857	43150	0.820747520976
mitochondria	CY_WOO	TULP	4	17	5.16176470588	5.52941176471	43165	0.933510638298
mitochondria	DAN	DOV	5	7	9	9	42994	1
mitochondria	DAN	DUD	5	8	6	6.375	42995	0.941176470588
mitochondria	DAN	KIRN	5	9	7	7	42995	1
mitochondria	DAN	KIRT	5	10	7	7	42995	1
mitochondria	DAN	MALV	5	10	8	8	42995	1
mitochondria	DAN	OCO	5	10	38.3666666667	39.4444444444	42984	0.972676056338
mitochondria	DAN	QUI1	5	8	10.1071428571	10.375	42987	0.974182444062
mitochondria	DAN	QUI2	5	10	15	15	42846	1
mitochondria	DAN	QUIN	5	9	15	15	42849	1
mitochondria	DAN	RIC	5	9	7	7	42995	1
mitochondria	DAN	RSV	5	8	12.0357142857	12.375	42980	0.972582972583
mitochondria	DAN	SILG	5	9	9.8253968254	10.9444444444	42986	0.897751994199
mitochondria	DAN	SILR	5	6	0	0	42994	nan
mitochondria	DAN	STI	5	16	11.719047619	12.4541666667	42979	0.940974047699
mitochondria	DAN	TIL	5	8	11.4047619048	12.8035714286	42979	0.890748489075
mitochondria	DAN	TULP	5	17	6.16176470588	6.52941176471	42995	0.943693693694
