organelle	statistic	comparison	canonical	scikit_allel	absolute_difference	match
chloroplast	hudson_fst	ABBE_BERN__CY_SIE	0.663410839312	0.663410839311954	4.57411886145564e-14	yes
chloroplast	hudson_numerator	ABBE_BERN__CY_WOO	527.8	527.8	1.13686837721616e-13	yes
chloroplast	hudson_denominator	ABBE_BERN__CY_WOO	538.866666667	538.866666666667	3.334434950375e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__CY_WOO	101758	101758	0	yes
chloroplast	hudson_fst	ABBE_BERN__CY_WOO	0.979463070642	0.979463070642089	8.870681966755e-14	yes
chloroplast	hudson_numerator	ABBE_BERN__DAN	571.633333333	571.633333333333	3.334434950375e-10	yes
chloroplast	hudson_denominator	ABBE_BERN__DAN	583.766666667	583.766666666667	3.33216121362057e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__DAN	101894	101894	0	yes
chloroplast	hudson_fst	ABBE_BERN__DAN	0.979215439959	0.979215439958888	1.12243547789603e-13	yes
chloroplast	hudson_numerator	ABBE_BERN__DOV	567.361904762	567.361904761905	9.51558831729926e-11	yes
chloroplast	hudson_denominator	ABBE_BERN__DOV	578.423809524	578.42380952381	1.90425453183707e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__DOV	101939	101939	0	yes
chloroplast	hudson_fst	ABBE_BERN__DOV	0.980875779005	0.980875779005343	3.42947892306711e-13	yes
chloroplast	hudson_numerator	ABBE_BERN__DUD	566.035714286	566.035714285714	2.85808710032143e-10	yes
chloroplast	hudson_denominator	ABBE_BERN__DUD	583.208333333	583.208333333333	3.33216121362057e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__DUD	101949	101949	0	yes
chloroplast	hudson_fst	ABBE_BERN__DUD	0.970554914829	0.970554914828688	3.12194714524594e-13	yes
chloroplast	hudson_numerator	ABBE_BERN__DUSE	447.931934732	447.931934731937	6.34372554486617e-11	yes
chloroplast	hudson_denominator	ABBE_BERN__DUSE	567.158313908	567.158313908314	3.1377567211166e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__DUSE	101948	101948	0	yes
chloroplast	hudson_fst	ABBE_BERN__DUSE	0.789782894383	0.789782894383082	8.19344592173366e-14	yes
chloroplast	hudson_numerator	ABBE_BERN__KIRN	561.027777778	561.027777777778	2.22144080908038e-10	yes
chloroplast	hudson_denominator	ABBE_BERN__KIRN	573.055555556	573.055555555556	4.44401848653797e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__KIRN	101949	101949	0	yes
chloroplast	hudson_fst	ABBE_BERN__KIRN	0.979011148812	0.979011148812409	4.09228206876833e-13	yes
