sample_id	repeat_mask_mean_depth	unique_sites_mean_depth	repeat_to_unique_mean_depth_ratio	interpretation
CY_SIE_LP_190_Du-447	0.61040687	99.08549609	0.00616041	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_SIE_LP_191_Du-448	0.41004120	73.18694690	0.00560265	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_WOO_LP_259_Du-664	0.06963041	14.19937032	0.00490377	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_WOO_LP_260_Du-665	0.06050899	13.23025868	0.00457353	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_WOO_LP_261_Du-667	0.02799069	9.39901719	0.00297804	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_WOO_LP_262_Du-668	0.09178461	22.28754680	0.00411820	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_WOO_LP_263_Du-669	0.11210536	23.81132999	0.00470807	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DAN_LP_043_Du-68	0.12485803	20.67571477	0.00603887	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DAN_LP_044_Du-69	0.33181904	60.30430990	0.00550241	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DAN_LP_045_Du-70	2.77314605	409.99414993	0.00676387	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DAN_LP_046_Du-71	1.90400864	348.32826327	0.00546613	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DAN_LP_047_Du-72	0.20505116	39.14021018	0.00523889	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DOV_LP_078_Du-174	0.14777108	16.76401889	0.00881478	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DOV_LP_079_Du-175	0.95028800	156.29831093	0.00607996	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DOV_LP_080_Du-176	3.84052029	564.77337900	0.00680011	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DOV_LP_081_Du-177	2.36547815	364.18988257	0.00649518	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DOV_LP_082_Du-178	0.38087914	43.46998383	0.00876189	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DOV_LP_083_Du-179	1.45654975	241.12102195	0.00604074	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DOV_LP_084_Du-180	1.86328565	262.99036334	0.00708500	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DU-173	16.45939160	2235.46857982	0.00736284	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DU-229	7.26701672	1082.75808373	0.00671158	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DU-247	7.64851210	1060.70047651	0.00721081	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
DU-254	8.81298797	1367.42303438	0.00644496	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
