sample_id	organelle	pc1	pc2	species	popcode	population_name	naming_profile	plot_group
KIRN_LP_183_Du-425	cpDNA	4.01534780	5.02086203	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_184_Du-426	cpDNA	4.01534780	5.02086203	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_185_Du-427	cpDNA	4.01534780	5.02086203	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_186_Du-428	cpDNA	4.01534780	5.02086203	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_187_Du-429	cpDNA	4.08471449	4.99715590	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRT_LP_159_Du-364	cpDNA	4.01992817	5.00386569	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_160_Du-365	cpDNA	4.02440253	5.00918048	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_161_Du-366	cpDNA	4.02396854	5.00864636	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_162_Du-367	cpDNA	4.02396854	5.00864636	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_163_Du-368	cpDNA	4.02440253	5.00918048	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_164_Du-369	cpDNA	4.02386326	5.00869784	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_165_Du-370	cpDNA	4.02440253	5.00918048	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_166_Du-371	cpDNA	4.02450781	5.00912899	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_167_Du-372	cpDNA	4.02544865	5.00866068	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_168_Du-373	cpDNA	4.01524252	5.02091351	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
MALV_LP_095_Du-201	cpDNA	4.09569934	5.03088928	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_096_Du-202	cpDNA	4.09569934	5.03088928	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_097_Du-203	cpDNA	4.09569934	5.03088928	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_098_Du-204	cpDNA	4.09569934	5.03088928	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_099_Du-205	cpDNA	4.09130550	5.01739676	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_100_Du-206	cpDNA	4.09569934	5.03088928	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_101_Du-207	cpDNA	4.09130550	5.01739676	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_102_Du-208	cpDNA	4.08848156	5.00872817	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_103_Du-209	cpDNA	4.09569934	5.03088928	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_104_Du-210	cpDNA	4.09569934	5.03088928	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
OCO_LP_058_Du-115	cpDNA	-19.09981302	2.24262180	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
OCO_LP_059_Du-106	cpDNA	-19.18596295	2.25755794	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
OCO_LP_060_Du-107	cpDNA	-19.08639958	2.24105022	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
OCO_LP_061_Du-108	cpDNA	-19.17901940	2.24976872	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
OCO_LP_062_Du-109	cpDNA	-19.19852970	2.25271920	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
OCO_LP_063_Du-110	cpDNA	-19.09289988	2.18458769	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
OCO_LP_064_Du-111	cpDNA	-19.15608464	2.18549231	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
OCO_LP_065_Du-112	cpDNA	-19.18128097	2.25592228	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
OCO_LP_066_Du-113	cpDNA	-19.04104843	2.22946813	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
OCO_LP_067_Du-114	cpDNA	-19.07621564	2.23939601	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
