sample_id	organelle	pc1	pc2	species	popcode	population_name	naming_profile	plot_group
CY_CAS_LP_328_Du-610	mtDNA	4.09286293	-0.01306795	D. cymosa	CY_CAS	Castle Rock Falls	main_standard	D. cymosa_CY_CAS
CY_CAS_LP_329_Du-611	mtDNA	-0.21458401	0.62477424	D. cymosa	CY_CAS	Castle Rock Falls	main_standard	D. cymosa_CY_CAS
CY_CAS_LP_330_Du-607	mtDNA	-0.21459580	0.62494672	D. cymosa	CY_CAS	Castle Rock Falls	main_standard	D. cymosa_CY_CAS
CY_CAS_LP_331_Du-608	mtDNA	-0.25855892	0.47020119	D. cymosa	CY_CAS	Castle Rock Falls	main_standard	D. cymosa_CY_CAS
CY_CAS_LP_332_Du-609	mtDNA	-0.21456993	0.62470760	D. cymosa	CY_CAS	Castle Rock Falls	main_standard	D. cymosa_CY_CAS
CY_HICN_LP_236_Du-614	mtDNA	4.67951421	0.26776209	D. cymosa	CY_HICN	Hick's Road North	main_standard	D. cymosa_CY_HICN
CY_HICN_LP_333_Du-612	mtDNA	4.23716141	-0.00659612	D. cymosa	CY_HICN	Hick's Road North	main_standard	D. cymosa_CY_HICN
CY_HICN_LP_334_Du-613	mtDNA	4.62470456	0.23091811	D. cymosa	CY_HICN	Hick's Road North	main_standard	D. cymosa_CY_HICN
CY_HICN_LP_335_Du-615	mtDNA	4.55735622	0.27380451	D. cymosa	CY_HICN	Hick's Road North	main_standard	D. cymosa_CY_HICN
CY_HICN_LP_336_Du-616	mtDNA	4.58080766	0.07573346	D. cymosa	CY_HICN	Hick's Road North	main_standard	D. cymosa_CY_HICN
CY_HICS_LP_293_Du-757	mtDNA	-0.28070259	0.56244843	D. cymosa	CY_HICS	Hicks Rd. South	main_standard	D. cymosa_CY_HICS
CY_HICS_LP_295_Du-759	mtDNA	-0.31650145	0.41664709	D. cymosa	CY_HICS	Hicks Rd. South	main_standard	D. cymosa_CY_HICS
CY_HICS_LP_297_Du-761	mtDNA	-0.28070259	0.56244843	D. cymosa	CY_HICS	Hicks Rd. South	main_standard	D. cymosa_CY_HICS
CY_HICS_LP_355_Du-762	mtDNA	-0.28070259	0.56244843	D. cymosa	CY_HICS	Hicks Rd. South	main_standard	D. cymosa_CY_HICS
CY_HICS_LP_356_Du-763	mtDNA	-0.28070259	0.56244843	D. cymosa	CY_HICS	Hicks Rd. South	main_standard	D. cymosa_CY_HICS
CY_HUN_LP_264_Du-683	mtDNA	4.55753479	-0.72918979	D. cymosa	CY_HUN	Hunting Hollow	main_standard	D. cymosa_CY_HUN
CY_HUN_LP_266_Du-685	mtDNA	4.55754088	-0.72922314	D. cymosa	CY_HUN	Hunting Hollow	main_standard	D. cymosa_CY_HUN
CY_HUN_LP_267_Du-686	mtDNA	4.55751500	-0.72898402	D. cymosa	CY_HUN	Hunting Hollow	main_standard	D. cymosa_CY_HUN
CY_HUN_LP_268_Du-687	mtDNA	4.51359793	-0.88406867	D. cymosa	CY_HUN	Hunting Hollow	main_standard	D. cymosa_CY_HUN
CY_SIE_LP_188_Du-445	mtDNA	4.67951421	0.26776209	D. cymosa	CY_SIE	Sierra Azule	main_standard	D. cymosa_CY_SIE
