sample_id	batch	species	popcode	organelle	reference_length	input_read_records	mapped_reads	mean_depth	total_depth	bases_ge_1x	breadth_ge_1x	bases_ge_5x	breadth_ge_5x	bases_ge_10x	breadth_ge_10x	bam_path	idxstats_path	depth_path
ABAB_MAD_LP_322_Du-593	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	chloroplast	150274	14447920	3533322	2608.212825	391946574	150269	0.999967	150259	0.999900	150258	0.999894	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_322_Du-593.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_322_Du-593.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_322_Du-593.depth.tsv
ABAB_MAD_LP_322_Du-593	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	mitochondria	243359	14447920	238413	112.724000	27432400	243071	0.998817	243054	0.998747	243018	0.998599	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_322_Du-593.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_322_Du-593.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_322_Du-593.depth.tsv
ABAB_MAD_LP_323_Du-594	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	chloroplast	150274	2471082	502441	317.397714	47696624	150259	0.999900	150238	0.999760	150214	0.999601	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_323_Du-594.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_323_Du-594.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_323_Du-594.depth.tsv
ABAB_MAD_LP_323_Du-594	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	mitochondria	243359	2471082	38600	15.974412	3887517	242995	0.998504	236226	0.970689	189509	0.778722	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_323_Du-594.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_323_Du-594.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_323_Du-594.depth.tsv
ABAB_MAD_LP_324_Du-595	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	chloroplast	150274	7258446	1451639	837.131912	125799161	150273	0.999993	150251	0.999847	150235	0.999740	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_324_Du-595.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_324_Du-595.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_324_Du-595.depth.tsv
ABAB_MAD_LP_324_Du-595	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	mitochondria	243359	7258446	154906	58.281325	14183285	243110	0.998977	243049	0.998726	243021	0.998611	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_324_Du-595.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_324_Du-595.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_324_Du-595.depth.tsv
ABAB_MAD_LP_325_Du-596	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	chloroplast	150274	9416018	2059522	1382.818751	207801705	150269	0.999967	150255	0.999874	150247	0.999820	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_325_Du-596.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_325_Du-596.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_325_Du-596.depth.tsv
ABAB_MAD_LP_325_Du-596	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	mitochondria	243359	9416018	134632	58.608410	14262884	243090	0.998895	243060	0.998771	243000	0.998525	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_325_Du-596.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_325_Du-596.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_325_Du-596.depth.tsv
ABAB_MAD_LP_326_Du-597	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	chloroplast	150274	8209486	1124408	737.977321	110898804	150261	0.999913	150245	0.999807	150239	0.999767	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_326_Du-597.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_326_Du-597.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_326_Du-597.depth.tsv
ABAB_MAD_LP_326_Du-597	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	mitochondria	243359	8209486	107423	45.656586	11110941	243085	0.998874	243035	0.998669	242968	0.998393	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_326_Du-597.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_326_Du-597.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_326_Du-597.depth.tsv
