sample_id	step	command
ABAB_MAD_LP_322_Du-593	flagstat	samtools flagstat /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_322_Du-593.organelle.sorted.bam
ABAB_MAD_LP_322_Du-593	idxstats	samtools idxstats /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_322_Du-593.organelle.sorted.bam
ABAB_MAD_LP_322_Du-593	depth	samtools depth -aa -q 20 -Q 0 /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_322_Du-593.organelle.sorted.bam
ABAB_MAD_LP_323_Du-594	align_filter_sort	bwa mem -t 16 dudleya_organelle_reference_verification/references/dudleya_cp_mt.fa genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_323_Du-594_S183_L005_R1_001.fastq.gz genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_323_Du-594_S183_L005_R2_001.fastq.gz | samtools view -@ 16 -b -F 4 -q 0 - | samtools sort -@ 16 -o /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_323_Du-594.organelle.sorted.tmp.bam -
ABAB_MAD_LP_323_Du-594	index	samtools index /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_323_Du-594.organelle.sorted.bam
ABAB_MAD_LP_323_Du-594	flagstat	samtools flagstat /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_323_Du-594.organelle.sorted.bam
ABAB_MAD_LP_323_Du-594	idxstats	samtools idxstats /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_323_Du-594.organelle.sorted.bam
ABAB_MAD_LP_323_Du-594	depth	samtools depth -aa -q 20 -Q 0 /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_323_Du-594.organelle.sorted.bam
ABAB_MAD_LP_324_Du-595	align_filter_sort	bwa mem -t 16 dudleya_organelle_reference_verification/references/dudleya_cp_mt.fa genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_324_Du-595_S194_L005_R1_001.fastq.gz genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_324_Du-595_S194_L005_R2_001.fastq.gz | samtools view -@ 16 -b -F 4 -q 0 - | samtools sort -@ 16 -o /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_324_Du-595.organelle.sorted.tmp.bam -
ABAB_MAD_LP_324_Du-595	index	samtools index /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_324_Du-595.organelle.sorted.bam
ABAB_MAD_LP_324_Du-595	flagstat	samtools flagstat /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_324_Du-595.organelle.sorted.bam
ABAB_MAD_LP_324_Du-595	idxstats	samtools idxstats /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_324_Du-595.organelle.sorted.bam
ABAB_MAD_LP_324_Du-595	depth	samtools depth -aa -q 20 -Q 0 /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_324_Du-595.organelle.sorted.bam
ABAB_MAD_LP_325_Du-596	align_filter_sort	bwa mem -t 16 dudleya_organelle_reference_verification/references/dudleya_cp_mt.fa genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_325_Du-596_S212_L005_R1_001.fastq.gz genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_325_Du-596_S212_L005_R2_001.fastq.gz | samtools view -@ 16 -b -F 4 -q 0 - | samtools sort -@ 16 -o /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_325_Du-596.organelle.sorted.tmp.bam -
ABAB_MAD_LP_325_Du-596	index	samtools index /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_325_Du-596.organelle.sorted.bam
ABAB_MAD_LP_325_Du-596	flagstat	samtools flagstat /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_325_Du-596.organelle.sorted.bam
ABAB_MAD_LP_325_Du-596	idxstats	samtools idxstats /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_325_Du-596.organelle.sorted.bam
ABAB_MAD_LP_325_Du-596	depth	samtools depth -aa -q 20 -Q 0 /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_325_Du-596.organelle.sorted.bam
ABAB_MAD_LP_326_Du-597	align_filter_sort	bwa mem -t 16 dudleya_organelle_reference_verification/references/dudleya_cp_mt.fa genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_326_Du-597_S222_L005_R1_001.fastq.gz genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_326_Du-597_S222_L005_R2_001.fastq.gz | samtools view -@ 16 -b -F 4 -q 0 - | samtools sort -@ 16 -o /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_326_Du-597.organelle.sorted.tmp.bam -
