sample_id	batch	species	popcode	track_id	organelle	purpose	record	region_count	region_bp	total_depth	mean_depth	bases_ge_1x	breadth_ge_1x	bases_ge_5x	breadth_ge_5x	bases_ge_10x	breadth_ge_10x	bed_path	depth_path
DU-297	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mtdna_high_confidence_unique	mtDNA	variant_calling_and_population_genetics	mitochondria	2	44930	68389691	1522.138682	44930	1.000000	44930	1.000000	44930	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/mtdna_high_confidence_unique_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-297.depth.tsv
DU-443	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_full_coverage	cpDNA	sample_qc_coverage	chloroplast	1	150274	2794873701	18598.518047	150274	1.000000	150274	1.000000	150274	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_full_coverage_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-443.depth.tsv
DU-443	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_ir_regions	cpDNA	repeat_annotation	chloroplast	2	51472	970878101	18862.257169	51472	1.000000	51472	1.000000	51472	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_ir_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-443.depth.tsv
DU-443	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_duplicate_ir_mask	cpDNA	mask	chloroplast	1	25736	471162216	18307.515387	25736	1.000000	25736	1.000000	25736	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_duplicate_ir_copy_mask.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-443.depth.tsv
DU-443	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_population_sites	cpDNA	variant_calling_and_population_genetics	chloroplast	1	124538	2323711485	18658.654266	124538	1.000000	124538	1.000000	124538	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_population_sites.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-443.depth.tsv
DU-443	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mtdna_permissive_coverage	mtDNA	sample_qc_coverage	mitochondria	1	243359	218540086	898.015220	242893	0.998085	242881	0.998036	242870	0.997991	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/mtdna_permissive_coverage_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-443.depth.tsv
DU-443	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mtdna_high_confidence_unique	mtDNA	variant_calling_and_population_genetics	mitochondria	2	44930	64378540	1432.863120	44930	1.000000	44930	1.000000	44928	0.999955	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/mtdna_high_confidence_unique_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-443.depth.tsv
DU-4A	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_full_coverage	cpDNA	sample_qc_coverage	chloroplast	1	150274	3079023237	20489.394286	150274	1.000000	150274	1.000000	150274	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_full_coverage_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-4A.depth.tsv
DU-4A	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_ir_regions	cpDNA	repeat_annotation	chloroplast	2	51472	1161096127	22557.820310	51472	1.000000	51472	1.000000	51472	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_ir_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-4A.depth.tsv
DU-4A	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_duplicate_ir_mask	cpDNA	mask	chloroplast	1	25736	558070280	21684.421822	25736	1.000000	25736	1.000000	25736	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_duplicate_ir_copy_mask.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-4A.depth.tsv
DU-4A	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_population_sites	cpDNA	variant_calling_and_population_genetics	chloroplast	1	124538	2520952957	20242.439713	124538	1.000000	124538	1.000000	124538	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_population_sites.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-4A.depth.tsv
DU-4A	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mtdna_permissive_coverage	mtDNA	sample_qc_coverage	mitochondria	1	243359	324065408	1331.635189	243359	1.000000	243359	1.000000	243358	0.999996	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/mtdna_permissive_coverage_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-4A.depth.tsv
DU-4A	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mtdna_high_confidence_unique	mtDNA	variant_calling_and_population_genetics	mitochondria	2	44930	97196865	2163.295460	44930	1.000000	44930	1.000000	44930	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/mtdna_high_confidence_unique_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU-4A.depth.tsv
DU014LP012	QB3.Berkeley.250811/QB3.250916.Results5genomes			cpdna_full_coverage	cpDNA	sample_qc_coverage	chloroplast	1	150274	1297468335	8634.017428	150274	1.000000	150274	1.000000	150274	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_full_coverage_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU014LP012.depth.tsv
DU014LP012	QB3.Berkeley.250811/QB3.250916.Results5genomes			cpdna_ir_regions	cpDNA	repeat_annotation	chloroplast	2	51472	555838248	10798.846907	51472	1.000000	51472	1.000000	51472	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_ir_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU014LP012.depth.tsv
DU014LP012	QB3.Berkeley.250811/QB3.250916.Results5genomes			cpdna_duplicate_ir_mask	cpDNA	mask	chloroplast	1	25736	268323408	10425.995026	25736	1.000000	25736	1.000000	25736	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_duplicate_ir_copy_mask.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU014LP012.depth.tsv
DU014LP012	QB3.Berkeley.250811/QB3.250916.Results5genomes			cpdna_population_sites	cpDNA	variant_calling_and_population_genetics	chloroplast	1	124538	1029144927	8263.702059	124538	1.000000	124538	1.000000	124538	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_population_sites.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU014LP012.depth.tsv
DU014LP012	QB3.Berkeley.250811/QB3.250916.Results5genomes			mtdna_permissive_coverage	mtDNA	sample_qc_coverage	mitochondria	1	243359	130833659	537.615864	235934	0.969490	230410	0.946791	230182	0.945854	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/mtdna_permissive_coverage_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU014LP012.depth.tsv
DU014LP012	QB3.Berkeley.250811/QB3.250916.Results5genomes			mtdna_high_confidence_unique	mtDNA	variant_calling_and_population_genetics	mitochondria	2	44930	41119297	915.185778	44930	1.000000	44930	1.000000	44930	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/mtdna_high_confidence_unique_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU014LP012.depth.tsv
DU037LP013	QB3.Berkeley.250811/QB3.250916.Results5genomes			cpdna_full_coverage	cpDNA	sample_qc_coverage	chloroplast	1	150274	1735155749	11546.613180	150274	1.000000	150274	1.000000	150274	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_full_coverage_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU037LP013.depth.tsv
DU037LP013	QB3.Berkeley.250811/QB3.250916.Results5genomes			cpdna_ir_regions	cpDNA	repeat_annotation	chloroplast	2	51472	583815476	11342.389571	51472	1.000000	51472	1.000000	51472	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/05_analysis_masks/cpdna_ir_regions.bed	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU037LP013.depth.tsv
