sample_1	sample_2	mash_distance	p_value	shared_hashes	calibrated_candidate	interpretation
ABAB_MAD_LP_323_Du-594	STI_LP_033_Du-51	0.065813	0	6952/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	STI_LP_034_Du-52	0.0675207	0	6570/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	STI_LP_035_Du-53	0.0639252	0	7402/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	STI_LP_036_Du-54	0.0649079	0	7164/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	STI_LP_037_Du-55	0.0614269	0	8046/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	STI_LP_038_Du-56	0.0617742	0	7953/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	STI_LP_039_Du-57	0.0656141	0	6998/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	STI_LP_040_Du-58	0.0772669	0	4775/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	STI_LP_041_Du-60	0.110703	0	1643/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	STI_LP_042_Du-61	0.0689035	0	6277/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TIL_LP_123_Du-263	0.0765913	0	4881/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TIL_LP_124_Du-264	0.0643545	0	7297/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TIL_LP_125_Du-265	0.07026	0	6003/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TIL_LP_126_Du-266	0.070989	0	5861/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TIL_LP_127_Du-267	0.0775455	0	4732/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TIL_LP_128_Du-268	0.0649836	0	7146/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TIL_LP_129_Du-269	0.0660789	0	6891/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TIL_LP_130_Du-271	0.0676731	0	6537/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TIL_LP_131_Du-272	0.0654852	0	7028/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TULP_LP_115_Du-242	0.0641493	0	7347/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TULP_LP_116_Du-243	0.0642271	0	7328/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TULP_LP_117_Du-244	0.0675806	0	6557/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TULP_LP_118_Du-245	0.0694454	0	6166/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TULP_LP_119_Du-246	0.0670455	0	6674/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TULP_LP_120_Du-248	0.0679618	0	6475/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TULP_LP_121_Du-249	0.065229	0	7088/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TULP_LP_122_Du-250	0.065584	0	7005/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TULP_LP_140_Du-302	0.0674241	0	6591/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TULP_LP_141_Du-303	0.0688649	0	6285/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TULP_LP_142_Du-304	0.0778596	0	4684/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TULP_LP_143_Du-305	0.0710202	0	5855/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TULP_LP_144_Du-306	0.0698124	0	6092/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TULP_LP_145_Du-307	0.0747415	0	5184/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TULP_LP_146_Du-308	0.0785788	0	4576/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TULP_LP_147_Du-309	0.0649331	0	7158/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	TULP_LP_148_Du-310	0.0704584	0	5964/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	ABAB_MAD_LP_325_Du-596	0.0338077	0	21258/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	ABAB_MAD_LP_326_Du-597	0.0360865	0	19525/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	ABAB_MAD_LP_327_Du-598	0.0491197	0	12241/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	ABBE_BERN_LP_311_Du-780	0.051092	0	11432/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	ABBE_BERN_LP_312_Du-781	0.0531368	0	10655/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	ABBE_BERN_LP_313_Du-782	0.0534256	0	10550/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	ABBE_BERN_LP_314_Du-783	0.0522278	0	10993/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	ABMU_HOR_LP_306_Du-775	0.0396341	0	17143/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	ABMU_HOR_LP_308_Du-777	0.0384175	0	17920/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	ABMU_HOR_LP_358_Du-770	0.0374367	0	18576/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	ABMU_HOR_LP_359_Du-771	0.0388939	0	17611/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	ABMU_HOR_LP_360_Du-772	0.0393658	0	17311/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	ABMU_HOR_LP_361_Du-773	0.0377492	0	18364/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	BAI_LP_105_Du-222	0.0471691	0	13104/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_324_Du-595	BAI_LP_106_Du-223	0.0485599	0	12482/100000	no	not_flagged_negative_screen_not_proof
