sample_id	batch	naming_profile	popcode	species	population_name	du_id	lp_id	sequencing_samples	lanes	r1_paths	r2_paths	r1_count	r2_count	pair_status	metadata_status	analysis_status	analysis_note
BAI_LP_112_Du-230	QB3.Berkeley.251217/QB3.Results.260109	main_standard	BAI	D. setchellii	Baird Ridgeline	Du-230	LP_112	S109	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_112_Du-230_S109_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_112_Du-230_S109_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
BAI_LP_113_Du-231	QB3.Berkeley.251217/QB3.Results.260109	main_standard	BAI	D. setchellii	Baird Ridgeline	Du-231	LP_113	S195	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_113_Du-231_S195_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_113_Du-231_S195_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
BAI_LP_114_Du-232	QB3.Berkeley.251217/QB3.Results.260109	main_standard	BAI	D. setchellii	Baird Ridgeline	Du-232	LP_114	S197	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_114_Du-232_S197_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_114_Du-232_S197_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
BAI_LP_319_Du-233	QB3.Berkeley.251217/QB3.Results.260109	main_standard	BAI	D. setchellii	Baird Ridgeline	Du-233	LP_319	S58	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_319_Du-233_S58_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_319_Du-233_S58_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
COM_LP_269_Du-703	QB3.Berkeley.251217/QB3.Results.260109	main_standard	COM	D. setchellii	Communication Hill	Du-703	LP_269	S239	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_269_Du-703_S239_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_269_Du-703_S239_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
COM_LP_270_Du-704	QB3.Berkeley.251217/QB3.Results.260109	main_standard	COM	D. setchellii	Communication Hill	Du-704	LP_270	S250	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_270_Du-704_S250_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_270_Du-704_S250_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
COM_LP_272_Du-707	QB3.Berkeley.251217/QB3.Results.260109	main_standard	COM	D. setchellii	Communication Hill	Du-707	LP_272	S266	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_272_Du-707_S266_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_272_Du-707_S266_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
COM_LP_274_Du-709	QB3.Berkeley.251217/QB3.Results.260109	main_standard	COM	D. setchellii	Communication Hill	Du-709	LP_274	S286	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_274_Du-709_S286_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_274_Du-709_S286_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
COM_LP_276_Du-711	QB3.Berkeley.251217/QB3.Results.260109	main_standard	COM	D. setchellii	Communication Hill	Du-711	LP_276	S229	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_276_Du-711_S229_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_276_Du-711_S229_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
COM_LP_277_Du-712	QB3.Berkeley.251217/QB3.Results.260109	main_standard	COM	D. setchellii	Communication Hill	Du-712	LP_277	S240	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_277_Du-712_S240_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_277_Du-712_S240_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
