sample_id	popcode	species	population_name	r1_paths	r2_paths	r1_count	r2_count	pair_status	analysis_eligible	sample_analysis_eligible	population_inference_eligible	population_exclusion_reason
ABMU_HOR_LP_308_Du-777	ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_308_Du-777_S232_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_308_Du-777_S232_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
ABMU_HOR_LP_358_Du-770	ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_358_Du-770_S243_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_358_Du-770_S243_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
ABMU_HOR_LP_359_Du-771	ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_359_Du-771_S252_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_359_Du-771_S252_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
ABMU_HOR_LP_360_Du-772	ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_360_Du-772_S260_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_360_Du-772_S260_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
ABMU_HOR_LP_361_Du-773	ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_361_Du-773_S270_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_361_Du-773_S270_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
BAI_LP_105_Du-222	BAI	D. setchellii	Baird Ridgeline	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_105_Du-222_S37_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_105_Du-222_S37_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
BAI_LP_106_Du-223	BAI	D. setchellii	Baird Ridgeline	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_106_Du-223_S47_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_106_Du-223_S47_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
BAI_LP_108_Du-225	BAI	D. setchellii	Baird Ridgeline	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_108_Du-225_S68_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_108_Du-225_S68_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
BAI_LP_109_Du-226	BAI	D. setchellii	Baird Ridgeline	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_109_Du-226_S79_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_109_Du-226_S79_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
BAI_LP_110_Du-227	BAI	D. setchellii	Baird Ridgeline	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_110_Du-227_S89_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_110_Du-227_S89_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
