sample_id	batch	naming_profile	species	popcode	population_name	du_id	lp_id	r1_paths	r2_paths	downstream_cpDNA_use	downstream_mtDNA_use	include_reason
COM_LP_270_Du-704	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	COM	Communication Hill	Du-704	LP_270	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_270_Du-704_S250_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_270_Du-704_S250_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
COM_LP_272_Du-707	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	COM	Communication Hill	Du-707	LP_272	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_272_Du-707_S266_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_272_Du-707_S266_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
COM_LP_274_Du-709	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	COM	Communication Hill	Du-709	LP_274	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_274_Du-709_S286_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_274_Du-709_S286_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
COM_LP_276_Du-711	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	COM	Communication Hill	Du-711	LP_276	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_276_Du-711_S229_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_276_Du-711_S229_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
COM_LP_277_Du-712	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	COM	Communication Hill	Du-712	LP_277	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_277_Du-712_S240_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_277_Du-712_S240_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
COM_LP_341_Du-713	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	COM	Communication Hill	Du-713	LP_341	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_341_Du-713_S207_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_341_Du-713_S207_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
COM_LP_342_Du-714	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	COM	Communication Hill	Du-714	LP_342	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_342_Du-714_S210_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_342_Du-714_S210_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
COM_LP_343_Du-715	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	COM	Communication Hill	Du-715	LP_343	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_343_Du-715_S205_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_343_Du-715_S205_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
CROB_LP_169_Du-381	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	CROB	Crosp Bench	Du-381	LP_169	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_169_Du-381_S178_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_169_Du-381_S178_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
CROB_LP_170_Du-382	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	CROB	Crosp Bench	Du-382	LP_170	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_170_Du-382_S189_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_170_Du-382_S189_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
CROB_LP_172_Du-384	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	CROB	Crosp Bench	Du-384	LP_172	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_172_Du-384_S127_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_172_Du-384_S127_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
CROB_LP_173_Du-385	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	CROB	Crosp Bench	Du-385	LP_173	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_173_Du-385_S137_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_173_Du-385_S137_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
CROB_LP_174_Du-386	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	CROB	Crosp Bench	Du-386	LP_174	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_174_Du-386_S148_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_174_Du-386_S148_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
