sample_id	popcode	species	population_name
KIRT_LP_162_Du-367	KIRT	D. setchellii	KC Transect
KIRT_LP_163_Du-368	KIRT	D. setchellii	KC Transect
KIRT_LP_164_Du-369	KIRT	D. setchellii	KC Transect
KIRT_LP_165_Du-370	KIRT	D. setchellii	KC Transect
KIRT_LP_166_Du-371	KIRT	D. setchellii	KC Transect
KIRT_LP_167_Du-372	KIRT	D. setchellii	KC Transect
KIRT_LP_168_Du-373	KIRT	D. setchellii	KC Transect
MALV_LP_095_Du-201	MALV	D. setchellii	Malech Vista
MALV_LP_096_Du-202	MALV	D. setchellii	Malech Vista
MALV_LP_097_Du-203	MALV	D. setchellii	Malech Vista
MALV_LP_098_Du-204	MALV	D. setchellii	Malech Vista
MALV_LP_099_Du-205	MALV	D. setchellii	Malech Vista
MALV_LP_100_Du-206	MALV	D. setchellii	Malech Vista
MALV_LP_101_Du-207	MALV	D. setchellii	Malech Vista
MALV_LP_102_Du-208	MALV	D. setchellii	Malech Vista
MALV_LP_103_Du-209	MALV	D. setchellii	Malech Vista
MALV_LP_104_Du-210	MALV	D. setchellii	Malech Vista
OCO_LP_058_Du-115	OCO	D. setchellii	O'Connell Ranch Pacheco Pass
OCO_LP_059_Du-106	OCO	D. setchellii	O'Connell Ranch Pacheco Pass
OCO_LP_060_Du-107	OCO	D. setchellii	O'Connell Ranch Pacheco Pass
OCO_LP_061_Du-108	OCO	D. setchellii	O'Connell Ranch Pacheco Pass
OCO_LP_062_Du-109	OCO	D. setchellii	O'Connell Ranch Pacheco Pass
OCO_LP_063_Du-110	OCO	D. setchellii	O'Connell Ranch Pacheco Pass
OCO_LP_064_Du-111	OCO	D. setchellii	O'Connell Ranch Pacheco Pass
OCO_LP_065_Du-112	OCO	D. setchellii	O'Connell Ranch Pacheco Pass
OCO_LP_066_Du-113	OCO	D. setchellii	O'Connell Ranch Pacheco Pass
OCO_LP_067_Du-114	OCO	D. setchellii	O'Connell Ranch Pacheco Pass
QUI1_LP_249_Du-648	QUI1	D. setchellii	Quicklsilver SE Mine Hill Tr. #1
QUI1_LP_250_Du-649	QUI1	D. setchellii	Quicklsilver SE Mine Hill Tr. #1
QUI1_LP_251_Du-650	QUI1	D. setchellii	Quicklsilver SE Mine Hill Tr. #1
QUI1_LP_252_Du-651	QUI1	D. setchellii	Quicklsilver SE Mine Hill Tr. #1
QUI1_LP_253_Du-652	QUI1	D. setchellii	Quicklsilver SE Mine Hill Tr. #1
QUI1_LP_254_Du-653	QUI1	D. setchellii	Quicklsilver SE Mine Hill Tr. #1
QUI1_LP_255_Du-654	QUI1	D. setchellii	Quicklsilver SE Mine Hill Tr. #1
QUI1_LP_257_Du-656	QUI1	D. setchellii	Quicklsilver SE Mine Hill Tr. #1
QUI1_LP_258_Du-657	QUI1	D. setchellii	Quicklsilver SE Mine Hill Tr. #1
QUI2_LP_243_Du-631	QUI2	D. setchellii	Quicklsilver SE Mine Hill Tr. #2
QUI2_LP_244_Du-632	QUI2	D. setchellii	Quicklsilver SE Mine Hill Tr. #2
QUI2_LP_245_Du-633	QUI2	D. setchellii	Quicklsilver SE Mine Hill Tr. #2
QUI2_LP_246_Du-634	QUI2	D. setchellii	Quicklsilver SE Mine Hill Tr. #2
QUI2_LP_247_Du-635	QUI2	D. setchellii	Quicklsilver SE Mine Hill Tr. #2
QUI2_LP_248_Du-636	QUI2	D. setchellii	Quicklsilver SE Mine Hill Tr. #2
QUI2_LP_337_Du-638	QUI2	D. setchellii	Quicklsilver SE Mine Hill Tr. #2
QUI2_LP_338_Du-639	QUI2	D. setchellii	Quicklsilver SE Mine Hill Tr. #2
QUI2_LP_339_Du-640	QUI2	D. setchellii	Quicklsilver SE Mine Hill Tr. #2
QUI2_LP_340_Du-641	QUI2	D. setchellii	Quicklsilver SE Mine Hill Tr. #2
QUIN_LP_069_Du-155	QUIN	D. setchellii	Quicksilver NE
QUIN_LP_070_Du-156	QUIN	D. setchellii	Quicksilver NE
QUIN_LP_071_Du-157	QUIN	D. setchellii	Quicksilver NE
QUIN_LP_072_Du-158	QUIN	D. setchellii	Quicksilver NE
QUIN_LP_073_Du-159	QUIN	D. setchellii	Quicksilver NE
QUIN_LP_074_Du-160	QUIN	D. setchellii	Quicksilver NE
QUIN_LP_075_Du-161	QUIN	D. setchellii	Quicksilver NE
QUIN_LP_076_Du-162	QUIN	D. setchellii	Quicksilver NE
QUIN_LP_077_Du-163	QUIN	D. setchellii	Quicksilver NE
QUIN_LP_318_Du-164	QUIN	D. setchellii	Quicksilver NE
RIC_LP_192_Du-521	RIC	D. setchellii	Richmond Ranch
RIC_LP_193_Du-522	RIC	D. setchellii	Richmond Ranch
RIC_LP_194_Du-523	RIC	D. setchellii	Richmond Ranch
RIC_LP_195_Du-524	RIC	D. setchellii	Richmond Ranch
RIC_LP_196_Du-525	RIC	D. setchellii	Richmond Ranch
RIC_LP_197_Du-526	RIC	D. setchellii	Richmond Ranch
RIC_LP_198_Du-527	RIC	D. setchellii	Richmond Ranch
RIC_LP_199_Du-528	RIC	D. setchellii	Richmond Ranch
RIC_LP_200_Du-529	RIC	D. setchellii	Richmond Ranch
RIC_LP_201_Du-530	RIC	D. setchellii	Richmond Ranch
RSV_LP_049_Du-85	RSV	D. setchellii	Rancho San Vicente
RSV_LP_050_Du-87	RSV	D. setchellii	Rancho San Vicente
RSV_LP_051_Du-88	RSV	D. setchellii	Rancho San Vicente
RSV_LP_052_Du-89	RSV	D. setchellii	Rancho San Vicente
RSV_LP_053_Du-90	RSV	D. setchellii	Rancho San Vicente
RSV_LP_055_Du-92	RSV	D. setchellii	Rancho San Vicente
RSV_LP_057_Du-94	RSV	D. setchellii	Rancho San Vicente
RSV_LP_315_Du-95	RSV	D. setchellii	Rancho San Vicente
RSV_LP_316_Du-96	RSV	D. setchellii	Rancho San Vicente
SILG_LP_149_Du-343	SILG	D. setchellii	Silver Creek Golf
SILG_LP_150_Du-344	SILG	D. setchellii	Silver Creek Golf
SILG_LP_151_Du-345	SILG	D. setchellii	Silver Creek Golf
SILG_LP_152_Du-346	SILG	D. setchellii	Silver Creek Golf
SILG_LP_153_Du-347	SILG	D. setchellii	Silver Creek Golf
