sample_id	include_chloroplast	include_mitochondria	include_shared	rule	manual_override
KIRN_LP_182_Du-424	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
KIRN_LP_183_Du-425	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
KIRN_LP_184_Du-426	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
KIRN_LP_185_Du-427	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
KIRN_LP_186_Du-428	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
KIRN_LP_187_Du-429	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
KIRT_LP_159_Du-364	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
KIRT_LP_160_Du-365	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
KIRT_LP_161_Du-366	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
KIRT_LP_162_Du-367	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
KIRT_LP_163_Du-368	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
KIRT_LP_164_Du-369	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
KIRT_LP_165_Du-370	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
KIRT_LP_166_Du-371	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
KIRT_LP_167_Du-372	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
KIRT_LP_168_Du-373	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
MALV_LP_095_Du-201	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
MALV_LP_096_Du-202	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
MALV_LP_097_Du-203	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
MALV_LP_098_Du-204	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
MALV_LP_099_Du-205	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
MALV_LP_100_Du-206	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
MALV_LP_101_Du-207	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
MALV_LP_102_Du-208	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
MALV_LP_103_Du-209	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
MALV_LP_104_Du-210	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
OCO_LP_058_Du-115	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
OCO_LP_059_Du-106	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
OCO_LP_060_Du-107	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
OCO_LP_061_Du-108	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
OCO_LP_062_Du-109	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
OCO_LP_063_Du-110	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
OCO_LP_064_Du-111	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
OCO_LP_065_Du-112	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
OCO_LP_066_Du-113	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
OCO_LP_067_Du-114	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUI1_LP_249_Du-648	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUI1_LP_250_Du-649	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUI1_LP_251_Du-650	yes	no	no	organelle_unique_mappability_breadth_dp5>=0.80	no
QUI1_LP_252_Du-651	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUI1_LP_253_Du-652	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUI1_LP_254_Du-653	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUI1_LP_255_Du-654	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
QUI1_LP_257_Du-656	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
