sample_id	organelle	best_k	species	popcode	population_name	plot_group	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8
KIRT_LP_166_Du-371	cpDNA	8	D. setchellii	KIRT	KC Transect	D. setchellii_KIRT	0.00001000	0.00001000	0.99992600	0.00001000	0.00001000	0.00001000	0.00001400	0.00001000
KIRT_LP_167_Du-372	cpDNA	8	D. setchellii	KIRT	KC Transect	D. setchellii_KIRT	0.00001000	0.00001000	0.99992600	0.00001000	0.00001000	0.00001000	0.00001400	0.00001000
KIRT_LP_168_Du-373	cpDNA	8	D. setchellii	KIRT	KC Transect	D. setchellii_KIRT	0.00001000	0.00001000	0.99992600	0.00001000	0.00001000	0.00001000	0.00001400	0.00001000
MALV_LP_095_Du-201	cpDNA	8	D. setchellii	MALV	Malech Vista	D. setchellii_MALV	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
MALV_LP_096_Du-202	cpDNA	8	D. setchellii	MALV	Malech Vista	D. setchellii_MALV	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
MALV_LP_097_Du-203	cpDNA	8	D. setchellii	MALV	Malech Vista	D. setchellii_MALV	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
MALV_LP_098_Du-204	cpDNA	8	D. setchellii	MALV	Malech Vista	D. setchellii_MALV	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
MALV_LP_099_Du-205	cpDNA	8	D. setchellii	MALV	Malech Vista	D. setchellii_MALV	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
MALV_LP_100_Du-206	cpDNA	8	D. setchellii	MALV	Malech Vista	D. setchellii_MALV	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
MALV_LP_101_Du-207	cpDNA	8	D. setchellii	MALV	Malech Vista	D. setchellii_MALV	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
MALV_LP_102_Du-208	cpDNA	8	D. setchellii	MALV	Malech Vista	D. setchellii_MALV	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
MALV_LP_103_Du-209	cpDNA	8	D. setchellii	MALV	Malech Vista	D. setchellii_MALV	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
MALV_LP_104_Du-210	cpDNA	8	D. setchellii	MALV	Malech Vista	D. setchellii_MALV	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
OCO_LP_058_Du-115	cpDNA	8	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	D. setchellii_OCO	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
OCO_LP_059_Du-106	cpDNA	8	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	D. setchellii_OCO	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
